Time,Southern Oscillation Index,NINO3 SST
1904.833333,,0.7598334
1904.8346612847538,-1.81,
1904.916667,,0.9316251
1904.916798562703,0.18,
1905.0,,1.019167
1905.0016737499172,-1.08,
1905.083333,,0.8944167
1905.0865489371315,-1.84,
1905.1632103965508,-3.51,
1905.166667,,1.034833
1905.248085583765,-3.05,
1905.25,,1.164208
1905.3302228617144,-1.68,
1905.333333,,1.537708
1905.4150980489287,-2.29,
1905.416667,,1.602917
1905.497235326878,-2.11,
1905.5,,1.505667
1905.5821105140922,-0.96,
1905.583333,,1.491333
1905.666667,,1.676708
1905.6669857013064,-0.7,
1905.7491229792558,-0.83,
1905.75,,1.574875
1905.833333,,1.520417
1905.83399816647,-1.81,
1905.9161354444193,-1.57,
1905.916667,,1.506417
1906.0,,1.362167
1906.0010106316336,-0.43,
1906.083333,,0.9341251
1906.0858858188478,-0.88,
1906.162547278267,-0.56,
1906.166667,,0.4799584
1906.2474224654813,-0.84,
1906.25,,0.6007917
1906.3295597434308,-1.03,
1906.333333,,0.1574167
1906.414434930645,-0.71,
1906.416667,,0.054291662
1906.4965722085942,0.68,
1906.5,,-0.241875
1906.5814473958085,1.43,
1906.583333,,-0.7842917
1906.6663225830227,1.75,
1906.666667,,-0.5009583
1906.748459860972,0.81,
1906.75,,-0.559125
1906.833333,,-0.5752917
1906.8333350481862,1.95,
1906.9154723261356,0.3,
1906.916667,,-0.4164167
1907.0,,-0.406125
1907.0003475133499,0.56,
1907.083333,,-0.383875
1907.0852227005641,-0.23,
1907.1618841599834,-0.32,
1907.166667,,-0.182625
1907.2467593471977,-0.84,
1907.25,,0.027749997
1907.3288966251469,-0.57,
1907.333333,,0.195625
1907.4137718123611,0.45,
1907.416667,,0.424625
1907.4959090903105,-0.03,
1907.5,,0.414
1907.5807842775248,-1.05,
1907.583333,,0.16975
1907.665659464739,-0.07,
1907.666667,,0.093208335
1907.7477967426883,-0.43,
1907.75,,-0.013416667
1907.8326719299025,-0.58,
1907.833333,,-0.2274167
1907.914809207852,0.65,
1907.916667,,0.1665833
1907.9996843950662,-0.99,
1908.0,,-0.076125003
1908.083333,,-0.1080833
1908.0845595822805,0.84,
1908.1639589509646,-0.41,
1908.166667,,-0.3264167
1908.2488341381788,1.02,
1908.25,,-0.5873333
1908.3309714161282,0.18,
1908.333333,,-0.5269583
1908.4158466033425,-0.63,
1908.416667,,-0.3969167
1908.4979838812917,1.43,
1908.5,,-0.6345834
1908.582859068506,0.2,
1908.583333,,-0.4517917
1908.666667,,-0.597125
1908.6677342557202,1.67,
1908.7498715336696,0.72,
1908.75,,-0.6689584
1908.833333,,-0.84425
1908.834746720884,0.09,
1908.916667,,-1.075167
1908.916883998833,-0.71,
1909.0,,-0.8266667
1909.0017591860474,-0.3,
1909.083333,,-0.6670001
1909.0866343732616,-0.4,
1909.163295832681,-0.15,
1909.166667,,-0.511
1909.2481710198952,-1.78,
1909.25,,-0.3935
1909.3303082978446,0.07,
1909.333333,,-0.331875
1909.4151834850588,2.63,
1909.416667,,-0.4347917
1909.497320763008,1.08,
1909.5,,-0.4260834
1909.5821959502223,0.89,
1909.583333,,-0.4435417
1909.666667,,-0.5923334
1909.6670711374366,0.06,
1909.7492084153857,0.2,
1909.75,,-0.9321667
1909.833333,,-1.226875
1909.8340836026,0.74,
1909.9162208805494,0.41,
1909.916667,,-1.02675
1910.0,,-0.9135417
1910.0010960677637,0.6,
1910.083333,,-0.9789167
1910.085971254978,1.42,
1910.1626327143972,1.25,
1910.166667,,-0.96975
1910.2475079016115,0.39,
1910.25,,-1.154583
1910.3296451795607,0.09,
1910.333333,,-1.004042
1910.414520366775,2.49,
1910.416667,,-0.649875
1910.4966576447243,2.07,
1910.5,,-0.61075
1910.5815328319386,0.89,
1910.583333,,-0.8955
1910.6664080191529,1.46,
1910.666667,,-0.5580417
1910.748545297102,1.04,
1910.75,,-0.5992084
1910.833333,,-0.6202917
1910.8334204843163,1.74,
1910.9155577622657,1.66,
1910.916667,,-0.5151667
1911.0,,-0.4992917
1911.00043294948,0.3,
1911.083333,,-0.835375
1911.085308136694,0.01,
