Age,Deuterium,Temperature
10930.7822,-395.2,-0.96
10949.2148,-400.3,-1.81
10968.9082,-393.3,-0.66
10988.5869,-390,-0.12
11006.1572,-390.9,-0.27
11023.7334,-387.4,0.3
11041.708,-389.7,-0.08
11060.0918,-398,-1.45
11078.5186,-396.1,-1.14
11097.5898,-392,-0.47
11116.6689,-397.7,-1.41
11136.4746,-398.9,-1.62
11156.5488,-394.7,-0.93
11175.1875,-386.8,0.37
11192.2822,-385.8,0.53
11209.3838,-387.9,0.18
11227.6016,-390.7,-0.29
11245.9404,-402,-2.15
11264.5518,-392.6,-0.61
11283.459,-390.8,-0.32
11302.1328,-394.6,-0.95
11318.9443,-381,1.29
11335.752,-382.1,1.11
11353.6064,-399.5,-1.77
11372.5303,-393.5,-0.78
11391.5273,-398.4,-1.59
11410.9902,-393.4,-0.77
11430.4473,-390.9,-0.37
11448.0908,-386.1,0.42
11465.3408,-387.8,0.14
11482.4912,-383.8,0.79
11499.3379,-386.9,0.28
11516.1816,-393,-0.73
11534.6416,-396.6,-1.33
11554.0088,-394.1,-0.92
11573.4229,-395.5,-1.16
11592.9346,-395.4,-1.15
11612.4434,-389.6,-0.19
11630.7852,-394.8,-1.05
11649.1289,-388.3,0.01
11667.3623,-394.8,-1.06
11685.5176,-387.9,0.07
11703.75,-396.1,-1.29
11722.7441,-391.3,-0.5
11741.7461,-393.6,-0.88
11760.4072,-387.8,0.07
11778.9531,-396.1,-1.3
11798.4639,-403.2,-2.48
11819.9482,-399.4,-1.85
11841.3965,-400.8,-2.09
11862.6777,-399.4,-1.86
11883.957,-400.9,-2.11
11905.2725,-399.2,-1.84
11926.5986,-404.9,-2.78
11949.4121,-404,-2.64
11972.2861,-398.2,-1.69
11993.3936,-400,-1.99
12014.4326,-399.8,-1.96
12036.7266,-406.2,-3.02
12059.3008,-403.5,-2.57
12082.4902,-405.5,-2.91
12105.833,-414.8,-4.44
12130.8604,-406.2,-3.03
12156.1396,-405.8,-2.97
12180.584,-410.9,-3.81
12204.7021,-403.7,-2.63
12227.249,-400.6,-2.12
12249.9336,-409.6,-3.61
12273.4033,-401.2,-2.23
12297.4521,-413.3,-4.23
12323.7012,-414.3,-4.4
12349.8477,-408.8,-3.49
12375.8887,-417.4,-4.91
12401.6885,-406.8,-3.17
12427.3848,-404.3,-2.76
12452.1934,-412.4,-4.1
12477.0107,-412.6,-4.14
12503.2119,-410.9,-3.86
12530.3105,-420.8,-5.5
12559.377,-417.2,-4.91
12588.3926,-418.8,-5.17
12617.3242,-415.6,-4.65
12645.7383,-418.6,-5.15
12673.4316,-410.9,-3.88
12700.4229,-413.7,-4.35
12727.2959,-412.7,-4.19
12754.4102,-419.3,-5.28
12784.1279,-420.8,-5.53
12812.8379,-412.1,-4.1
12840.6387,-416,-4.74
12867.3994,-408.8,-3.56
12894.1436,-413.9,-4.41
12921.5732,-416.4,-4.82
12949.6152,-417.7,-5.04
12978.3389,-414.9,-4.58
13005.3965,-410.4,-3.85
13032.168,-411.6,-4.05
13058.9648,-415,-4.61
13086.6318,-418.4,-5.17
13115.4902,-415.5,-4.7
13143.252,-412.9,-4.27
13170.4932,-408,-3.47
13195.9873,-410.8,-3.94
13221.9482,-414.8,-4.6
13248.8369,-408.7,-3.6
13274.8125,-408.5,-3.57
13300.1768,-411.8,-4.12
13326.6846,-412.8,-4.28
13353.667,-419,-5.31
13383.1836,-417.5,-5.06
13412.043,-414,-4.49
13440.2119,-416.6,-4.92
13467.7861,-410.8,-3.97
13494.8799,-403.4,-2.76
13519.9131,-413.7,-4.46
13545.542,-410.2,-3.88
13572.4082,-415.9,-4.83
13600.4316,-416.8,-4.98
13629.2363,-417.3,-5.06
13658.3955,-417.1,-5.03
13686.9766,-411.9,-4.18
13714.5898,-415.5,-4.78
13742.3896,-413.4,-4.43
13770.2178,-405,-3.06
13796.3457,-417.2,-5.07
13822.4404,-405.5,-3.15
13848.4473,-414.3,-4.6
13875.4268,-414.8,-4.68
13903.4229,-412,-4.23
13929.7461,-407.5,-3.49
13955.624,-403.4,-2.82
13978.9863,-402.3,-2.64
14002.4414,-405.9,-3.24
14027.6934,-410.4,-3.98
14053.2969,-410.8,-4.05
14080.1504,-413.4,-4.48
14106.1699,-406,-3.27
14131.2773,-402.6,-2.71
14155.6436,-404.3,-3
14179.5664,-406.9,-3.43
14204.5215,-411.2,-4.14
14229.9482,-392.2,-1.02
14251.6855,-397.7,-1.93
14272.6641,-399.1,-2.16
14294.8633,-402.3,-2.69
14317.7021,-401.1,-2.5
14340.8975,-403.9,-2.96
14364.3115,-401.2,-2.52
14390.0684,-418.2,-5.32
14417.127,-408.8,-3.78
14441.9443,-402.3,-2.71
14466.5557,-411.1,-4.17
14493.4365,-411.1,-4.17
14520.1777,-407.3,-3.55
14546.5146,-413.6,-4.59
14573.5322,-411.2,-4.2
14601.2031,-418.6,-5.42
14630.5674,-415.7,-4.94
14659.8857,-411.3,-4.22
14687.8242,-416.2,-5.03
14715.834,-412.6,-4.44
14743.9121,-407.6,-3.62
14770.2705,-410.1,-4.04
14796.4482,-411.6,-4.29
14823.0586,-407.5,-3.62
14849.6504,-409.9,-4.02
14876.2168,-411.3,-4.25
14904.249,-419,-5.52
14933.3652,-399.4,-2.3
14958.7334,-413,-4.54
14984.2314,-416.4,-5.1
15013.6973,-416.3,-5.09
15042.25,-410,-4.05
15069.832,-410.7,-4.17
15097.373,-412.7,-4.5
15124.9482,-411.8,-4.36
15152.917,-414.2,-4.76
15181.5762,-416.6,-5.16
15211.252,-420,-5.72
15242.0713,-418.5,-5.47
15273.1592,-419.6,-5.66
15304.2441,-418.7,-5.51
15335.3877,-420.1,-5.74
15366.4971,-419.8,-5.7
15397.4355,-414,-4.75
15427.1318,-416.2,-5.11
15456.5674,-417.6,-5.35
15487.4111,-421.6,-6.01
15518.2646,-416.6,-5.19
15549.1982,-423.8,-6.37
15581.1982,-414.2,-4.8
15612.0059,-417.8,-5.39
15641.9473,-416.9,-5.25
15672.4775,-419.1,-5.61
15703.0625,-417.3,-5.32
15733.7461,-419.1,-5.62
15765.1611,-420.3,-5.82
15797.1064,-422.5,-6.18
15829.6992,-417.7,-5.39
15861.7119,-425.4,-6.66
15894.1484,-420.8,-5.91
15927.0967,-421.1,-5.96
15959.8936,-424.1,-6.46
15993.8545,-426.8,-6.9
16028.6016,-425.9,-6.76
16063.3047,-420.9,-5.94
16096.1738,-421.9,-6.1
16128.8203,-421.7,-6.07
16161.6318,-422.6,-6.22
16195.9795,-429.8,-7.41
16230.9004,-423.9,-6.44
16265.7949,-421.9,-6.12
16299.1855,-425.8,-6.76
16333.9238,-426,-6.79
16368.9844,-425.7,-6.75
16404.127,-426.4,-6.86
16440.2832,-434.2,-8.15
16478.1836,-427.5,-7.05
16515.8105,-429.9,-7.44
16552.6055,-428.1,-7.15
16589.1406,-426.1,-6.82
16626.293,-438.3,-8.83
16665.4121,-429.4,-7.37
16705.0781,-434.5,-8.21
16744.416,-433.9,-8.11
16784.4961,-434.6,-8.23
16825.2012,-439.3,-9
16867.3789,-431.6,-7.74
16907.0547,-432,-7.8
16946.5059,-435.5,-8.38
16986.0293,-429.4,-7.38
17024.6406,-437.2,-8.66
17066.1973,-429.5,-7.4
17105.4863,-441.5,-9.37
17148.0977,-436.2,-8.5
17190.4863,-435.6,-8.4
17232.6211,-439.9,-9.11
17275.2285,-435.5,-8.39
17317.6758,-439.7,-9.08
17361.4199,-442.5,-9.54
17407.1738,-442.1,-9.47
17452.9473,-442.1,-9.47
17498.7051,-443.5,-9.7
17545.2012,-433.9,-8.13
17586.3848,-439,-8.97
17630.1895,-443.7,-9.74
17675.6816,-438.6,-8.9
17719.9141,-438.4,-8.87
17764.0391,-442.5,-9.54
17809.8027,-444.2,-9.82
17856.7402,-443.1,-9.64
17903.1504,-440.5,-9.21
17948.5273,-440.7,-9.25
17993.2168,-438.8,-8.94
18037.4648,-440.3,-9.18
18082.2305,-441.9,-9.45
18128.0039,-441.7,-9.41
18173.834,-441.4,-9.36
18219.4805,-442.3,-9.51
18265.7422,-441.6,-9.4
18311.7812,-447.4,-10.35
18361.4863,-437.2,-8.67
18404.7891,-440.8,-9.26
18449.3281,-436.5,-8.56
18493.4316,-444.8,-9.92
18539.7207,-440.5,-9.21
18585.959,-442.9,-9.61
18632.1836,-441.4,-9.36
18677.9102,-439.3,-9.02
18723.4492,-443.4,-9.69
