Southern Oscillation Index (SOI),,
Date,Year,Value
199901,1999,1.8
199902,1999.083333,1
199903,1999.166667,1.3
199904,1999.25,1.4
199905,1999.333333,0.2
199906,1999.416667,0.3
199907,1999.5,0.5
199908,1999.583333,0.4
199909,1999.666667,-0.1
199910,1999.75,1
199911,1999.833333,1
199912,1999.916667,1.4
200001,2000,0.7
200002,2000.083333,1.7
200003,2000.166667,1.3
200004,2000.25,1.2
200005,2000.333333,0.4
200006,2000.416667,-0.2
200007,2000.5,-0.2
200008,2000.583333,0.7
200009,2000.666667,0.9
200010,2000.75,1.1
200011,2000.833333,1.8
200012,2000.916667,0.8
200101,2001,1
200102,2001.083333,1.7
200103,2001.166667,0.9
200104,2001.25,0.2
200105,2001.333333,-0.5
200106,2001.416667,0.3
200107,2001.5,-0.2
200108,2001.583333,-0.4
200109,2001.666667,0.2
200110,2001.75,0
200111,2001.833333,0.7
200112,2001.916667,-0.8
200201,2002,0.4
200202,2002.083333,1.1
200203,2002.166667,-0.2
200204,2002.25,-0.1
200205,2002.333333,-0.8
200206,2002.416667,-0.2
200207,2002.5,-0.5
200208,2002.583333,-1
200209,2002.666667,-0.6
200210,2002.75,-0.4
200211,2002.833333,-0.5
200212,2002.916667,-1.1
200301,2003,-0.2
200302,2003.083333,-0.7
200303,2003.166667,-0.3
200304,2003.25,-0.1
200305,2003.333333,-0.3
200306,2003.416667,-0.6
200307,2003.5,0.3
200308,2003.583333,0.1
200309,2003.666667,-0.1
200310,2003.75,0
200311,2003.833333,-0.3
200312,2003.916667,1.1
200401,2004,-1.3
200402,2004.083333,1.2
200403,2004.166667,0.4
200404,2004.25,-0.9
200405,2004.333333,1
200406,2004.416667,-0.8
200407,2004.5,-0.5
200408,2004.583333,-0.3
200409,2004.666667,-0.3
200410,2004.75,-0.1
200411,2004.833333,-0.7
200412,2004.916667,-0.8
200501,2005,0.3
200502,2005.083333,-3.1
200503,2005.166667,0.3
200504,2005.25,-0.6
200505,2005.333333,-0.8
200506,2005.416667,0.4
200507,2005.5,0.2
200508,2005.583333,-0.3
200509,2005.666667,0.4
200510,2005.75,1.2
200511,2005.833333,-0.2
200512,2005.916667,0
200601,2006,1.7
200602,2006.083333,0.1
200603,2006.166667,1.8
200604,2006.25,1.1
200605,2006.333333,-0.5
200606,2006.416667,-0.2
200607,2006.5,-0.6
200608,2006.583333,-1
200609,2006.666667,-0.6
200610,2006.75,-1.3
200611,2006.833333,0.1
200612,2006.916667,-0.3
200701,2007,-0.8
200702,2007.083333,-0.1
200703,2007.166667,0.2
200704,2007.25,-0.1
200705,2007.333333,-0.1
200706,2007.416667,0.5
200707,2007.5,-0.3
200708,2007.583333,0.4
200709,2007.666667,0.2
200710,2007.75,0.7
200711,2007.833333,0.9
200712,2007.916667,1.7
200801,2008,1.8
200802,2008.083333,2.6
200803,2008.166667,1.4
200804,2008.25,0.7
200805,2008.333333,-0.1
200806,2008.416667,0.6
200807,2008.5,0.3
200808,2008.583333,1
200809,2008.666667,1.2
200810,2008.75,1.3
200811,2008.833333,1.3
