Period,Epoch,Stage,UpperBoundary,LowerBoundary,Average,Rperiod,Gperiod,Bperiod,Repoch,Gepoch,Bepoch,Rstage,Gstage,Bstage,Period_Abbrev,Epoch_Abbrev,Stage_Abbrev,Period_Color,Epoch_Color,Stage_Color
Cambrian,Furongian,Stage 10,486.85,491.0,488.925,0.498039215686275,0.627450980392157,0.337254901960784,0.701960784313725,0.87843137254902,0.584313725490196,0.901960784313726,0.96078431372549,0.788235294117647,Cm,,,#7fa055,#b2e094,#e6f4c9
Cambrian,Furongian,Jiangshanian,491.0,494.2,492.6,0.498039215686275,0.627450980392157,0.337254901960784,0.701960784313725,0.87843137254902,0.584313725490196,0.850980392156863,0.941176470588235,0.733333333333333,Cm,,,#7fa055,#b2e094,#d9efba
Cambrian,Furongian,Paibian,494.2,497.0,495.6,0.498039215686275,0.627450980392157,0.337254901960784,0.701960784313725,0.87843137254902,0.584313725490196,0.8,0.92156862745098,0.682352941176471,Cm,,,#7fa055,#b2e094,#cceaae
Cambrian,Miaolingian,Guzhangian,497.0,500.5,498.75,0.498039215686275,0.627450980392157,0.337254901960784,0.650980392156863,0.811764705882353,0.525490196078431,0.8,0.874509803921569,0.666666666666667,Cm,,,#7fa055,#a6cf85,#ccdfaa
Cambrian,Miaolingian,Drumian,500.5,504.5,502.5,0.498039215686275,0.627450980392157,0.337254901960784,0.650980392156863,0.811764705882353,0.525490196078431,0.749019607843137,0.850980392156863,0.615686274509804,Cm,,,#7fa055,#a6cf85,#bed99d
Cambrian,Miaolingian,Stage 5,504.5,509.0,506.75,0.498039215686275,0.627450980392157,0.337254901960784,0.650980392156863,0.811764705882353,0.525490196078431,0.701960784313725,0.831372549019608,0.572549019607843,Cm,,,#7fa055,#a6cf85,#b2d491
Cambrian,Series 2,Stage 4,509.0,514.5,511.75,0.498039215686275,0.627450980392157,0.337254901960784,0.6,0.752941176470588,0.470588235294118,0.701960784313725,0.792156862745098,0.556862745098039,Cm,,,#7fa055,#99bf78,#b2ca8d
Cambrian,Series 2,Stage 3,514.5,521.0,517.75,0.498039215686275,0.627450980392157,0.337254901960784,0.6,0.752941176470588,0.470588235294118,0.650980392156863,0.772549019607843,0.513725490196078,Cm,,,#7fa055,#99bf78,#a6c482
Cambrian,Terreneuvian,Stage 2,521.0,529.0,525.0,0.498039215686275,0.627450980392157,0.337254901960784,0.549019607843137,0.690196078431373,0.423529411764706,0.650980392156863,0.729411764705882,0.501960784313725,Cm,,,#7fa055,#8bb06c,#a6b97f
Cambrian,Terreneuvian,Fortunian,529.0,538.8,533.9,0.498039215686275,0.627450980392157,0.337254901960784,0.549019607843137,0.690196078431373,0.423529411764706,0.6,0.709803921568627,0.458823529411765,Cm,,,#7fa055,#8bb06c,#99b475
